,Kada M8,Zyppan M8,Minny M8,RobbieBk M8,Click M8
Boo TH,1 0 +1,,,,
benjyfishy TH,,,1 0 +1,,1 1 +0
Wo0t TH,1 0 +1,1 0 +1,,,1 0 +1
RieNs TH,,1 1 +0,1 0 +1,,1 1 +0
MiniBoo TH,0 1 -1,1 0 +1,2 0 +2,2 0 +2,1 2 -1
