,Kada M8,Zyppan M8,Minny M8,RobbieBk M8,Click M8
Boo TH,4 2 +2,1 1 +0,2 1 +1,1 2 -1,2 2 +0
benjyfishy TH,2 2 +0,4 3 +1,2 0 +2,2 2 +0,0 0
Wo0t TH,1 2 -1,6 0 +6,1 4 -3,3 1 +2,2 0 +2
RieNs TH,2 2 +0,1 1 +0,4 2 +2,3 1 +2,4 1 +3
MiniBoo TH,3 3 +0,3 1 +2,4 2 +2,4 0 +4,6 0 +6
