,Kada M8,Zyppan M8,Minny M8,RobbieBk M8,Click M8
Boo TH,3 3 +0,2 5 -3,0 3 -3,2 1 +1,2 4 -2
benjyfishy TH,0 1 -1,3 2 +1,1 3 -2,1 2 -1,0 5 -5
Wo0t TH,1 2 -1,2 3 -1,1 5 -4,,3 4 -1
RieNs TH,2 3 -1,2 3 -1,5 3 +2,1 2 -1,1 2 -1
MiniBoo TH,0 2 -2,1 1 +0,0 4 -4,0 3 -3,2 5 -3
