,Kada M8,Zyppan M8,Minny M8,RobbieBk M8,Click M8
Boo TH,9 6 +3,6 11 -5,3 7 -4,6 7 -1,5 6 -1
benjyfishy TH,3 4 -1,10 6 +4,10 4 +6,8 6 +2,6 10 -4
Wo0t TH,6 4 +2,9 8 +1,6 10 -4,5 5 +0,9 6 +3
RieNs TH,6 8 -2,6 10 -4,12 5 +7,7 4 +3,8 6 +2
MiniBoo TH,9 6 +3,9 3 +6,6 7 -1,7 5 +2,11 11 +0
