,Kada M8,Zyppan M8,Minny M8,RobbieBk M8,Click M8
Boo TH,2 1 +1,3 5 -2,1 3 -2,3 4 -1,1 0 +1
benjyfishy TH,1 1 +0,3 1 +2,7 1 +6,5 2 +3,6 5 +1
Wo0t TH,4 0 +4,1 5 -4,4 1 +3,2 4 -2,4 2 +2
RieNs TH,2 3 -1,3 6 -3,3 0 +3,3 1 +2,3 3 +0
MiniBoo TH,6 1 +5,5 1 +4,2 1 +1,3 2 +1,3 6 -3
