,Kada M8,Zyppan M8,Minny M8,RobbieBk M8,Click M8
Boo TH,2 0 +2,0 1 -1,0 1 -1,,1 1 +0
benjyfishy TH,0 1 -1,0 2 -2,1 2 -1,0 1 -1,1 2 -1
Wo0t TH,1 0 +1,2 0 +2,0 3 -3,1 1 +0,2 1 +1
RieNs TH,,1 2 -1,1 0 +1,,2 3 -1
MiniBoo TH,0 1 -1,2 0 +2,4 0 +4,2 1 +1,4 4 +0
