,yoman GEN,Karon GEN,t3xture GEN,Munchkin GEN,Foxy9 GEN
Governor TLN,1 2 -1,1 2 -1,2 6 -4,1 2 -1,1 3 -2
JitBoyS TLN,0 1 -1,0 2 -2,3 3 +0,3 4 -1,2 1 +1
Crws TLN,0 4 -4,2 2 +0,1 1 +0,0 2 -2,0 6 -6
primmie TLN,3 2 +1,1 3 -2,2 2 +0,4 3 +1,1 4 -3
ban TLN,0 6 -6,3 2 +1,2 0 +2,1 5 -4,4 1 +3
