,yoman GEN,Karon GEN,t3xture GEN,Munchkin GEN,Foxy9 GEN
Governor TLN,1 1 +0,2 4 -2,1 7 -6,2 2 +0,2 4 -2
JitBoyS TLN,1 1 +0,1 6 -5,1 3 -2,1 2 -1,1 3 -2
Crws TLN,3 4 -1,1 4 -3,2 3 -1,1 1 +0,3 3 +0
primmie TLN,3 3 +0,3 6 -3,5 3 +2,4 1 +3,4 3 +1
ban TLN,1 3 -2,2 4 -2,3 5 -2,4 0 +4,2 3 -1
