,yoman GEN,Karon GEN,t3xture GEN,Munchkin GEN,Foxy9 GEN
Governor TLN,,,0 3 -3,,1 0 +1
JitBoyS TLN,,,0 1 -1,,
Crws TLN,,,0 1 -1,,
primmie TLN,,,,,
ban TLN,,1 0 +1,0 1 -1,,
