,yoman GEN,Karon GEN,t3xture GEN,Munchkin GEN,Foxy9 GEN
Governor TLN,2 3 -1,3 6 -3,3 13 -10,3 4 -1,3 7 -4
JitBoyS TLN,1 2 -1,1 8 -7,4 6 -2,4 6 -2,3 4 -1
Crws TLN,3 8 -5,3 6 -3,3 4 -1,1 3 -2,3 9 -6
primmie TLN,6 5 +1,4 9 -5,7 5 +2,8 4 +4,5 7 -2
ban TLN,1 9 -8,5 6 -1,5 5 +0,5 5 +0,6 4 +2
