,yoman GEN,Karon GEN,t3xture GEN,Munchkin GEN,Foxy9 GEN
Governor TLN,,,1 2 -1,,0 1 -1
JitBoyS TLN,,,1 0 +1,0 1 -1,
Crws TLN,0 1 -1,0 1 -1,,0 1 -1,0 2 -2
primmie TLN,,,,,0 1 -1
ban TLN,,,,0 1 -1,2 0 +2
