,yoman GEN,Karon GEN,t3xture GEN,Munchkin GEN,Foxy9 GEN
Governor TLN,1 1 +0,0 2 -2,1 3 -2,1 0 +1,1 1 +0
JitBoyS TLN,,,2 1 +1,0 2 -2,
Crws TLN,1 1 +0,0 1 -1,,0 1 -1,1 2 -1
primmie TLN,,0 1 -1,,1 1 +0,0 1 -1
ban TLN,0 1 -1,0 1 -1,0 1 -1,2 1 +1,2 0 +2
