,Cryocells 100T,zander 100T,eeiu 100T,Boostio 100T,Asuna 100T
Mazino KRÜ,0 1 -1,1 0 +1,,,1 0 +1
Shyy KRÜ,,0 1 -1,0 1 -1,2 0 +2,
adverso KRÜ,1 0 +1,0 1 -1,,,2 1 +1
keznit KRÜ,2 2 +0,0 1 -1,,2 0 +2,
Melser KRÜ,,1 1 +0,,,1 0 +1
