,Cryocells 100T,zander 100T,eeiu 100T,Boostio 100T,Asuna 100T
Mazino KRÜ,3 2 +1,3 6 -3,3 4 -1,8 2 +6,4 2 +2
Shyy KRÜ,3 5 -2,1 1 +0,3 4 -1,3 2 +1,7 2 +5
adverso KRÜ,4 3 +1,3 2 +1,1 4 -3,0 1 -1,2 6 -4
keznit KRÜ,3 4 -1,5 5 +0,3 1 +2,4 3 +1,3 5 -2
Melser KRÜ,2 3 -1,4 0 +4,3 4 -1,3 3 +0,5 5 +0
