,Cryocells 100T,zander 100T,eeiu 100T,Boostio 100T,Asuna 100T
Mazino KRÜ,0 1 -1,1 0 +1,0 1 -1,,1 1 +0
Shyy KRÜ,1 1 +0,0 1 -1,0 1 -1,2 0 +2,1 1 +0
adverso KRÜ,1 0 +1,0 1 -1,,,2 3 -1
keznit KRÜ,3 3 +0,3 3 +0,1 0 +1,2 0 +2,1 2 -1
Melser KRÜ,,2 1 +1,,,3 1 +2
