,Cryocells 100T,zander 100T,eeiu 100T,Boostio 100T,Asuna 100T
Mazino KRÜ,,,0 1 -1,,0 1 -1
Shyy KRÜ,1 1 +0,,,,1 1 +0
adverso KRÜ,,,,,0 2 -2
keznit KRÜ,1 1 +0,3 2 +1,1 0 +1,,1 2 -1
Melser KRÜ,,1 0 +1,,,2 1 +1
