,Cryocells 100T,zander 100T,eeiu 100T,Boostio 100T,Asuna 100T
Mazino KRÜ,0 4 -4,2 0 +2,3 4 -1,4 3 +1,3 5 -2
Shyy KRÜ,5 4 +1,6 2 +4,1 7 -6,3 0 +3,6 0 +6
adverso KRÜ,4 2 +2,2 3 -1,4 1 +3,4 2 +2,4 3 +1
keznit KRÜ,6 3 +3,2 3 -1,4 3 +1,5 2 +3,3 4 -1
Melser KRÜ,2 4 -2,5 2 +3,2 2 +0,4 0 +4,2 6 -4
