,Cryocells 100T,zander 100T,eeiu 100T,Boostio 100T,Asuna 100T
Mazino KRÜ,3 6 -3,5 6 -1,6 8 -2,12 5 +7,7 7 +0
Shyy KRÜ,8 9 -1,7 3 +4,4 11 -7,6 2 +4,13 2 +11
adverso KRÜ,8 5 +3,5 5 +0,5 5 +0,4 3 +1,6 9 -3
keznit KRÜ,9 7 +2,7 8 -1,7 4 +3,9 5 +4,6 9 -3
Melser KRÜ,4 7 -3,9 2 +7,5 6 -1,7 3 +4,7 11 -4
