Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
ZmjjKK,EDG,Map_1_1Sunset,All,Neon,,319,21,11,2,+10,,185,20%,8,5,+3
nobody,EDG,Map_1_1Sunset,All,Sova,,259,16,13,7,+3,,195,41%,1,0,+1
CHICHOO,EDG,Map_1_1Sunset,All,Cypher,,226,15,9,5,+6,,148,20%,1,0,+1
Smoggy,EDG,Map_1_1Sunset,All,Omen,,199,12,10,6,+2,,133,33%,2,1,+1
S1Mon,EDG,Map_1_1Sunset,All,Kayo,,164,13,9,10,+4,,110,41%,0,0,0
yosemite,BLG,Map_1_1Sunset,All,Raze,,251,15,16,3,-1,,162,27%,1,1,0
Knight,BLG,Map_1_1Sunset,All,Sage,,223,13,15,7,-2,,152,28%,2,1,+1
nephh,BLG,Map_1_1Sunset,All,Gekko,,164,10,14,3,-4,,104,13%,1,2,-1
Flex1n,BLG,Map_1_1Sunset,All,Omen,,125,7,14,4,-7,,89,25%,1,4,-3
whzy,BLG,Map_1_1Sunset,All,Chamber,,124,7,18,2,-11,,78,62%,1,4,-3
ZmjjKK,EDG,Map_1_1Sunset,Attack,Neon,,,,,,,
nobody,EDG,Map_1_1Sunset,Attack,Sova,,,,,,,
CHICHOO,EDG,Map_1_1Sunset,Attack,Cypher,,,,,,,
Smoggy,EDG,Map_1_1Sunset,Attack,Omen,,,,,,,
S1Mon,EDG,Map_1_1Sunset,Attack,Kayo,,,,,,,
yosemite,BLG,Map_1_1Sunset,Attack,Raze,,,,,,,
Knight,BLG,Map_1_1Sunset,Attack,Sage,,,,,,,
nephh,BLG,Map_1_1Sunset,Attack,Gekko,,,,,,,
Flex1n,BLG,Map_1_1Sunset,Attack,Omen,,,,,,,
whzy,BLG,Map_1_1Sunset,Attack,Chamber,,,,,,,
ZmjjKK,EDG,Map_1_1Sunset,Defend,Neon,,,,,,,
nobody,EDG,Map_1_1Sunset,Defend,Sova,,,,,,,
CHICHOO,EDG,Map_1_1Sunset,Defend,Cypher,,,,,,,
Smoggy,EDG,Map_1_1Sunset,Defend,Omen,,,,,,,
S1Mon,EDG,Map_1_1Sunset,Defend,Kayo,,,,,,,
yosemite,BLG,Map_1_1Sunset,Defend,Raze,,,,,,,
Knight,BLG,Map_1_1Sunset,Defend,Sage,,,,,,,
nephh,BLG,Map_1_1Sunset,Defend,Gekko,,,,,,,
Flex1n,BLG,Map_1_1Sunset,Defend,Omen,,,,,,,
whzy,BLG,Map_1_1Sunset,Defend,Chamber,,,,,,,
