,nephh BLG,yosemite BLG,Knight BLG,whzy BLG,Flex1n BLG
Derke FNC,2 0 +2,0 1 -1,,3 1 +2,
hiro FNC,,1 0 +1,,,
Chronicle FNC,,,1 0 +1,1 0 +1,2 0 +2
Boaster FNC,,,1 1 +0,0 1 -1,
Alfajer FNC,,,,2 0 +2,
