,nephh BLG,yosemite BLG,Knight BLG,whzy BLG,Flex1n BLG
Derke FNC,,0 1 -1,,1 1 +0,
hiro FNC,0 2 -2,,1 0 +1,0 1 -1,0 1 -1
Chronicle FNC,,4 0 +4,,0 2 -2,
Boaster FNC,1 0 +1,1 0 +1,,,0 1 -1
Alfajer FNC,0 1 -1,0 1 -1,0 1 -1,1 0 +1,0 1 -1
