,nephh BLG,yosemite BLG,Knight BLG,whzy BLG,Flex1n BLG
Derke FNC,5 2 +3,1 1 +0,4 4 +0,3 4 -1,6 3 +3
hiro FNC,1 5 -4,3 1 +2,2 0 +2,2 4 -2,2 3 -1
Chronicle FNC,2 1 +1,6 2 +4,3 2 +1,6 8 -2,2 1 +1
Boaster FNC,2 3 -1,2 1 +1,3 1 +2,2 5 -3,1 3 -2
Alfajer FNC,4 2 +2,2 3 -1,2 7 -5,2 2 +0,5 2 +3
