,nephh BLG,yosemite BLG,Knight BLG,whzy BLG,Flex1n BLG
Derke FNC,2 0 +2,0 2 -2,,4 2 +2,
hiro FNC,0 2 -2,1 0 +1,1 0 +1,0 1 -1,0 1 -1
Chronicle FNC,,4 0 +4,1 0 +1,1 2 -1,2 0 +2
Boaster FNC,1 0 +1,1 0 +1,1 1 +0,0 1 -1,0 1 -1
Alfajer FNC,0 1 -1,0 1 -1,0 1 -1,3 0 +3,0 1 -1
