,Kicks VIT,Sayf VIT,Derke VIT,trexx VIT,Less VIT
qRaxs FUT,,,0 2 -2,0 1 -1,
xeus FUT,0 1 -1,,2 3 -1,1 1 +0,1 0 +1
yetujey FUT,,,0 2 -2,,1 0 +1
AtaKaptan FUT,0 1 -1,,0 1 -1,,
MrFaliN FUT,,,,,
