,Kicks VIT,Sayf VIT,Derke VIT,trexx VIT,Less VIT
qRaxs FUT,,,1 1 +0,,0 1 -1
xeus FUT,,0 1 -1,2 1 +1,,
yetujey FUT,,1 1 +0,1 0 +1,1 0 +1,
AtaKaptan FUT,,0 1 -1,0 1 -1,,
MrFaliN FUT,0 2 -2,,0 3 -3,0 1 -1,1 0 +1
