,Kicks VIT,Sayf VIT,Derke VIT,trexx VIT,Less VIT
qRaxs FUT,0 2 -2,2 1 +1,3 6 -3,3 1 +2,1 4 -3
xeus FUT,2 4 -2,2 0 +2,4 6 -2,5 1 +4,1 5 -4
yetujey FUT,2 4 -2,1 3 -2,1 4 -3,0 3 -3,3 2 +1
AtaKaptan FUT,1 4 -3,2 5 -3,0 4 -4,1 2 -1,1 0 +1
MrFaliN FUT,4 2 +2,2 2 +0,1 7 -6,2 1 +1,2 2 +0
