,Jinboong DFM,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM
Dep ZETA,1 1 +0,2 1 +1,2 1 +1,2 3 -1,6 0 +6
SugarZ3ro ZETA,3 1 +2,1 2 -1,3 2 +1,1 0 +1,1 1 +0
TenTen ZETA,4 0 +4,4 1 +3,5 1 +4,2 3 -1,3 0 +3
CLZ ZETA,2 1 +1,4 1 +3,2 1 +1,5 2 +3,0 2 -2
Xdll ZETA,3 1 +2,1 0 +1,2 3 -1,3 1 +2,2 0 +2
