,Jinboong DFM,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM
Dep ZETA,,,,,3 0 +3
SugarZ3ro ZETA,,1 0 +1,,,
TenTen ZETA,,0 1 -1,,1 0 +1,
CLZ ZETA,1 0 +1,,,1 2 -1,0 1 -1
Xdll ZETA,1 0 +1,,0 1 -1,1 0 +1,
