,Jinboong DFM,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM
Dep ZETA,4 11 -7,6 3 +3,5 12 -7,5 9 -4,11 4 +7
SugarZ3ro ZETA,9 5 +4,4 7 -3,7 11 -4,4 11 -7,6 3 +3
TenTen ZETA,7 5 +2,8 2 +6,10 14 -4,6 8 -2,4 7 -3
CLZ ZETA,2 5 -3,6 6 +0,5 13 -8,9 9 +0,3 2 +1
Xdll ZETA,5 10 -5,2 3 -1,5 10 -5,7 7 +0,9 4 +5
