,Jinboong DFM,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM
Dep ZETA,,,0 1 -1,,
SugarZ3ro ZETA,,,,,
TenTen ZETA,,,0 1 -1,1 0 +1,
CLZ ZETA,,,1 0 +1,,
Xdll ZETA,,,0 1 -1,,
