,Jinboong DFM,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM
Dep ZETA,,1 0 +1,,0 1 -1,1 0 +1
SugarZ3ro ZETA,,0 1 -1,,,
TenTen ZETA,,0 1 -1,0 2 -2,,
CLZ ZETA,0 1 -1,0 2 -2,1 0 +1,1 0 +1,1 0 +1
Xdll ZETA,0 1 -1,1 0 +1,0 1 -1,1 1 +0,2 0 +2
