,Jinboong DFM,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM
Dep ZETA,1 6 -5,1 0 +1,2 3 -1,1 2 -1,1 2 -1
SugarZ3ro ZETA,0 2 -2,2 2 +0,0 3 -3,0 6 -6,2 1 +1
TenTen ZETA,1 4 -3,,2 1 +1,3 2 +1,0 6 -6
CLZ ZETA,0 2 -2,1 2 -1,1 4 -3,1 4 -3,0 0
Xdll ZETA,0 6 -6,0 1 -1,2 2 +0,1 2 -1,3 2 +1
