,Jinboong DFM,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM
Dep ZETA,2 4 -2,3 2 +1,1 8 -7,2 4 -2,4 2 +2
SugarZ3ro ZETA,6 2 +4,1 3 -2,4 6 -2,3 5 -2,3 1 +2
TenTen ZETA,2 1 +1,4 1 +3,3 12 -9,1 3 -2,1 1 +0
CLZ ZETA,0 2 -2,1 3 -2,2 8 -6,3 3 +0,3 0 +3
Xdll ZETA,2 3 -1,1 2 -1,1 5 -4,3 4 -1,4 2 +2
