,something PRX,d4v41 PRX,Jinggg PRX,PatMen PRX,f0rsakeN PRX
JitBoyS TLN,3 13 -10,7 14 -7,7 3 +4,6 5 +1,4 5 -1
Crws TLN,7 11 -4,7 2 +5,5 12 -7,6 7 -1,8 6 +2
Killua TLN,5 8 -3,5 11 -6,5 7 -2,11 9 +2,5 7 -2
primmie TLN,7 9 -2,6 11 -5,13 6 +7,3 7 -4,8 6 +2
thyy TLN,11 11 +0,6 10 -4,7 8 -1,8 9 -1,10 4 +6
