,something PRX,d4v41 PRX,Jinggg PRX,PatMen PRX,f0rsakeN PRX
JitBoyS TLN,0 3 -3,,1 1 +0,0 1 -1,
Crws TLN,0 3 -3,,0 4 -4,2 1 +1,
Killua TLN,1 4 -3,1 0 +1,2 0 +2,4 3 +1,1 2 -1
primmie TLN,0 1 -1,0 2 -2,0 1 -1,0 1 -1,0 2 -2
thyy TLN,2 3 -1,1 1 +0,1 1 +0,1 1 +0,1 1 +0
