,something PRX,d4v41 PRX,Jinggg PRX,PatMen PRX,f0rsakeN PRX
JitBoyS TLN,0 8 -8,4 9 -5,4 1 +3,3 4 -1,2 2 +0
Crws TLN,5 6 -1,7 2 +5,4 6 -2,5 3 +2,7 4 +3
Killua TLN,2 5 -3,3 7 -4,1 4 -3,6 8 -2,2 3 -1
primmie TLN,4 6 -2,3 6 -3,8 2 +6,2 4 -2,3 3 +0
thyy TLN,8 7 +1,2 2 +0,3 8 -5,3 6 -3,4 2 +2
