,something PRX,d4v41 PRX,Jinggg PRX,PatMen PRX,f0rsakeN PRX
JitBoyS TLN,0 1 -1,,1 1 +0,,
Crws TLN,0 2 -2,0 0,0 2 -2,1 0 +1,
Killua TLN,1 1 +0,,2 0 +2,1 0 +1,
primmie TLN,,0 2 -2,0 1 -1,0 1 -1,
thyy TLN,1 1 +0,1 1 +0,1 0 +1,,1 1 +0
