,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Crws TLN,,4,3,,,,1,1,,,43,2,1
Killua TLN,,7,1,,,,,,,,46,4,1
JitBoyS TLN,,5,1,,,,,,,,29,1,1
primmie TLN,,9,1,,,,1,,,,45,8,4
thyy TLN,,7,3,,1,,1,,,,52,1,0
Jinggg PRX,,9,,,,,,,,,47,2,1
f0rsakeN PRX,,6,1,,,1,,,,,36,11,1
d4v41 PRX,,5,2,3,,1,,,,,67,2,0
PatMen PRX,,9,3,,,2,,,,,54,6,0
something PRX,,5,5,1,,,,,,,51,3,1
