,something PRX,d4v41 PRX,Jinggg PRX,PatMen PRX,f0rsakeN PRX
JitBoyS TLN,3 5 -2,3 5 -2,3 2 +1,3 1 +2,2 3 -1
Crws TLN,2 5 -3,0 0,1 6 -5,1 4 -3,1 2 -1
Killua TLN,3 3 +0,2 4 -2,4 3 +1,5 1 +4,3 4 -1
primmie TLN,3 3 +0,3 5 -2,5 4 +1,1 3 -2,5 3 +2
thyy TLN,3 4 -1,4 8 -4,4 0 +4,5 3 +2,6 2 +4
