,RieNs TH,Boo TH,Wo0t TH,MiniBoo TH,benjyfishy TH
Autumn FPX,7 11 -4,17 12 +5,8 9 -1,8 8 +0,14 6 +8
BerLIN FPX,8 16 -8,6 5 +1,10 13 -3,13 7 +6,8 8 +0
AAAAY FPX,10 13 -3,16 11 +5,9 9 +0,16 7 +9,14 12 +2
Lysoar FPX,11 19 -8,7 9 -2,14 9 +5,11 9 +2,12 10 +2
Life FPX,8 12 -4,10 10 +0,11 10 +1,12 9 +3,6 16 -10
