,RieNs TH,Boo TH,Wo0t TH,MiniBoo TH,benjyfishy TH
Autumn FPX,,,0 1 -1,,
BerLIN FPX,,,0 1 -1,1 1 +0,1 0 +1
AAAAY FPX,,1 0 +1,0 1 -1,2 1 +1,2 1 +1
Lysoar FPX,0 1 -1,,,1 1 +0,1 0 +1
Life FPX,0 2 -2,,2 1 +1,1 0 +1,1 2 -1
