,RieNs TH,Boo TH,Wo0t TH,MiniBoo TH,benjyfishy TH
Autumn FPX,4 3 +1,5 7 -2,3 2 +1,4 3 +1,2 2 +0
BerLIN FPX,3 8 -5,2 3 -1,2 3 -1,7 2 +5,6 4 +2
AAAAY FPX,5 4 +1,5 4 +1,5 3 +2,4 4 +0,3 3 +0
Lysoar FPX,3 6 -3,4 4 +0,6 2 +4,4 5 -1,4 4 +0
Life FPX,2 3 -1,5 3 +2,3 5 -2,3 7 -4,4 3 +1
