,RieNs TH,Boo TH,Wo0t TH,MiniBoo TH,benjyfishy TH
Autumn FPX,1 1 +0,3 1 +2,2 1 +1,1 3 -2,2 0 +2
BerLIN FPX,,,0 2 -2,3 3 +0,5 1 +4
AAAAY FPX,0 1 -1,1 0 +1,1 1 +0,4 1 +3,2 1 +1
Lysoar FPX,1 1 +0,0 1 -1,1 0 +1,2 1 +1,1 0 +1
Life FPX,0 5 -5,,3 2 +1,6 5 +1,3 3 +0
