,RieNs TH,Boo TH,Wo0t TH,MiniBoo TH,benjyfishy TH
Autumn FPX,2 3 -1,6 3 +3,3 0 +3,0 3 -3,6 2 +4
BerLIN FPX,3 4 -1,1 0 +1,2 5 -3,3 2 +1,1 3 -2
AAAAY FPX,2 2 +0,4 3 +1,2 2 +0,4 2 +2,4 7 -3
Lysoar FPX,5 7 -2,1 1 +0,4 2 +2,3 1 +2,4 4 +0
Life FPX,3 3 +0,2 3 -1,4 1 +3,8 2 +6,1 7 -6
