,RieNs TH,Boo TH,Wo0t TH,MiniBoo TH,benjyfishy TH
Autumn FPX,1 5 -4,6 2 +4,2 7 -5,4 2 +2,6 2 +4
BerLIN FPX,2 4 -2,3 2 +1,6 5 +1,3 3 +0,1 1 +0
AAAAY FPX,3 7 -4,7 4 +3,2 4 -2,8 1 +7,7 2 +5
Lysoar FPX,3 6 -3,2 4 -2,4 5 -1,4 3 +1,4 2 +2
Life FPX,3 6 -3,3 4 -1,4 4 +0,1 0 +1,1 6 -5
