,RieNs TH,Boo TH,Wo0t TH,MiniBoo TH,benjyfishy TH
Autumn FPX,,,1 0 +1,1 1 +0,1 0 +1
BerLIN FPX,,,,2 1 +1,3 0 +3
AAAAY FPX,0 1 -1,,1 0 +1,1 0 +1,
Lysoar FPX,,0 1 -1,1 0 +1,,
Life FPX,0 1 -1,,0 1 -1,3 5 -2,2 1 +1
