,Shyy KRÜ,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ
Ethan NRG,1 0 +1,1 0 +1,,2 1 +1,2 0 +2
Victor NRG,0 1 -1,0 2 -2,2 1 +1,0 1 -1,1 1 +0
FiNESSE NRG,,,,,
s0m NRG,1 0 +1,,,,1 1 +0
crashies NRG,,,,0 1 -1,0 1 -1
