,Shyy KRÜ,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ
Ethan NRG,,1 0 +1,,2 0 +2,2 1 +1
Victor NRG,,1 2 -1,0 1 -1,1 0 +1,3 2 +1
FiNESSE NRG,,0 1 -1,,1 0 +1,1 0 +1
s0m NRG,,,,,1 0 +1
crashies NRG,,1 0 +1,,,
