,Shyy KRÜ,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ
Ethan NRG,,,,,0 1 -1
Victor NRG,1 0 +1,1 1 +0,1 0 +1,1 1 +0,3 1 +2
FiNESSE NRG,,,1 0 +1,1 0 +1,0 1 -1
s0m NRG,,1 0 +1,,2 0 +2,
crashies NRG,,1 0 +1,1 0 +1,1 0 +1,
