,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crashies NRG,,4 Round 2 Melser keznit Round 12 Melser heat Round 14 heat mta Round 18 mta Melser,,,,1 Round 17 heat,,,,,56,3,1
Victor NRG,,2 Round 14 Shyy Melser Round 15 heat mta,1 Round 16 mta keznit Melser,,,,,,,,61,0,0
FiNESSE NRG,,3 Round 6 heat keznit Round 10 heat mta Round 12 mta Shyy,2 Round 7 heat keznit mta Round 18 keznit heat Shyy,,,,,,,,59,0,0
s0m NRG,,3 Round 6 Melser Shyy Round 16 Shyy heat Round 21 Melser Shyy,2 Round 1 Melser keznit heat Round 8 Shyy keznit mta,,,,,,,,70,4,0
Ethan NRG,,3 Round 10 keznit Melser Round 17 mta Melser Round 20 heat keznit,,,,,,,,,48,1,0
Melser KRÜ,,3 Round 4 Victor s0m Round 10 Victor crashies Round 19 crashies s0m,1 Round 20 Victor Ethan FiNESSE,,,,,,,,58,1,0
keznit KRÜ,,2 Round 4 FiNESSE Ethan Round 5 Victor FiNESSE,,,,,,,,,29,0,0
heat KRÜ,,4 Round 5 crashies Ethan Round 9 FiNESSE crashies Round 13 FiNESSE s0m Round 19 Victor FiNESSE,2 Round 11 crashies s0m Ethan Round 17 Victor s0m Ethan,,,,,,,,50,1,0
Shyy KRÜ,,2 Round 12 Victor s0m Round 13 Ethan crashies,1 Round 3 Ethan crashies FiNESSE,,,,,,,,56,2,1
mta KRÜ,,3 Round 2 Victor Ethan Round 9 Victor Ethan Round 20 s0m crashies,,,,,,,,,44,0,0
