,Shyy KRÜ,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ
Ethan NRG,1 0 +1,2 0 +2,,4 1 +3,4 2 +2
Victor NRG,1 1 +0,2 5 -3,3 2 +1,2 2 +0,7 4 +3
FiNESSE NRG,,0 1 -1,1 0 +1,2 0 +2,1 1 +0
s0m NRG,1 0 +1,1 0 +1,,2 0 +2,2 1 +1
crashies NRG,,2 0 +2,1 0 +1,1 1 +0,0 1 -1
