,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crashies NRG,,3 Round 6 heat Shyy Round 9 Shyy mta Round 20 Melser Shyy,,,,,1 Round 20 Melser Shyy,,,,76,1,1
Victor NRG,,7 Round 2 keznit Shyy Round 3 mta Melser Round 4 heat keznit Round 5 Shyy keznit Round 8 mta Melser Round 12 keznit mta Round 20 keznit heat,,,,,,,,,61,0,0
FiNESSE NRG,,3 Round 1 mta heat Round 2 mta heat Round 8 keznit Shyy,,,,2 Round 8 Shyy Round 13 heat,,,,,43,0,0
s0m NRG,,2 Round 18 keznit mta Round 19 heat mta,2 Round 1 Melser keznit Shyy Round 13 mta Melser Shyy,,,,,,,,48,1,0
Ethan NRG,,2 Round 11 heat mta Round 12 Shyy heat Ethan,,,,1 Round 12 heat,,,,,43,8,1
Melser KRÜ,,2 Round 10 Victor s0m Round 20 s0m Ethan,,,,,,,,,37,1,0
keznit KRÜ,,4 Round 6 Victor mta Round 7 Ethan Victor Round 15 FiNESSE Victor Round 16 crashies s0m,1 Round 9 FiNESSE crashies s0m,1 Round 17 crashies Ethan Victor FiNESSE,,,,,,,79,2,1
heat KRÜ,,4 Round 5 Victor Ethan Round 8 Ethan Victor Round 12 Victor crashies Round 18 Victor s0m,1 Round 13 crashies Ethan s0m,,,,,,,,53,0,0
Shyy KRÜ,,3 Round 9 Victor Ethan Round 16 FiNESSE Victor Round 20 FiNESSE Victor,,,,,,,,,62,1,0
mta KRÜ,,,,,,,,,,,22,2,0
