,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,,0 1 -1,,,
mta KRÜ,,2 3 -1,,,0 1 -1
Shyy KRÜ,,1 2 -1,1 0 +1,,
keznit KRÜ,3 2 +1,2 1 +1,0 1 -1,1 0 +1,1 0 +1
Melser KRÜ,,2 0 +2,,,
