,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,,,2 1 +1,1 1 +0,
mta KRÜ,1 1 +0,,1 0 +1,1 0 +1,
Shyy KRÜ,1 0 +1,,,1 0 +1,
keznit KRÜ,0 1 -1,1 1 +0,2 2 +0,0 1 -1,
Melser KRÜ,,2 0 +2,0 1 -1,,0 1 -1
