,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,,0 2 -2,,,
mta KRÜ,,,,,
Shyy KRÜ,,,,,
keznit KRÜ,1 0 +1,0 2 -2,,,
Melser KRÜ,,0 1 -1,,,
