,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,11 10 +1,6 15 -9,9 9 +0,9 9 +0,11 8 +3
mta KRÜ,11 5 +6,7 17 -10,9 9 +0,9 9 +0,6 8 -2
Shyy KRÜ,8 10 -2,14 11 +3,13 10 +3,15 4 +11,9 13 -4
keznit KRÜ,9 14 -5,11 14 -3,10 6 +4,10 12 -2,6 9 -3
Melser KRÜ,12 6 +6,9 8 +1,8 7 +1,8 12 -4,12 10 +2
