,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,7 3 +4,2 4 -2,3 3 +0,4 3 +1,6 2 +4
mta KRÜ,2 5 -3,3 5 -2,3 0 +3,4 4 +0,3 0 +3
Shyy KRÜ,5 5 +0,5 4 +1,3 1 +2,7 2 +5,5 4 +1
keznit KRÜ,3 4 -1,2 3 -1,7 2 +5,3 6 -3,0 3 -3
Melser KRÜ,2 3 -1,4 2 +2,2 2 +0,1 3 -2,2 4 -2
