,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,2 1 +1,0 1 -1,,0 1 -1,
mta KRÜ,,0 4 -4,,,
Shyy KRÜ,,,,,1 0 +1
keznit KRÜ,1 0 +1,2 2 +0,0 1 -1,2 0 +2,
Melser KRÜ,2 0 +2,,1 0 +1,1 0 +1,
