,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,2 1 +1,0 2 -2,2 1 +1,1 2 -1,
mta KRÜ,1 1 +0,2 7 -5,1 0 +1,1 0 +1,0 1 -1
Shyy KRÜ,1 0 +1,1 2 -1,1 0 +1,1 0 +1,1 0 +1
keznit KRÜ,4 3 +1,5 4 +1,2 4 -2,3 1 +2,1 0 +1
Melser KRÜ,2 0 +2,4 0 +4,1 1 +0,1 0 +1,0 1 -1
