,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,1 4 -3,3 3 +0,5 3 +2,2 4 -2,2 4 -2
mta KRÜ,6 0 +6,2 6 -4,3 5 -2,5 2 +3,3 3 +0
Shyy KRÜ,0 1 -1,5 5 +0,6 3 +3,6 2 +4,1 6 -5
keznit KRÜ,4 6 -2,4 4 +0,1 2 -1,2 4 -2,5 2 +3
Melser KRÜ,5 2 +3,3 2 +1,4 4 +0,1 5 -4,4 2 +2
