,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,3 3 +0,1 8 -7,1 3 -2,3 2 +1,3 2 +1
mta KRÜ,3 0 +3,2 6 -4,3 4 -1,0 3 -3,0 5 -5
Shyy KRÜ,3 4 -1,4 2 +2,4 6 -2,2 0 +2,3 3 +0
keznit KRÜ,2 4 -2,5 7 -2,2 2 +0,5 2 +3,1 4 -3
Melser KRÜ,5 1 +4,2 4 -2,2 1 +1,6 4 +2,6 4 +2
