,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T,eeiu 100T
heat KRÜ,,0 4 -4,,,
mta KRÜ,,0 3 -3,,,
Shyy KRÜ,,0 2 -2,,,
keznit KRÜ,1 0 +1,0 3 -3,,,1 0 +1
Melser KRÜ,,0 1 -1,,,
