,RieNs TH,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH
UNFAKE VIT,10 10 +0,9 5 +4,5 9 -4,5 7 -2,3 6 -3
KovaQ VIT,2 10 -8,5 6 -1,5 10 -5,8 6 +2,4 5 -1
Derke VIT,8 6 +2,5 7 -2,4 6 -2,9 13 -4,9 5 +4
Less VIT,6 7 -1,8 8 +0,12 6 +6,6 5 +1,8 4 +4
Kicks VIT,6 6 +0,4 7 -3,5 9 -4,5 7 -2,3 8 -5
