,RieNs TH,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH
UNFAKE VIT,5 5 +0,4 3 +1,1 7 -6,2 2 +0,2 2 +0
KovaQ VIT,1 5 -4,0 2 -2,2 6 -4,4 1 +3,2 3 -1
Derke VIT,5 3 +2,2 6 -4,2 3 -1,4 3 +1,3 4 -1
Less VIT,3 2 +1,5 7 -2,5 3 +2,4 2 +2,5 0 +5
Kicks VIT,3 0 +3,2 6 -4,3 6 -3,2 4 -2,1 3 -2
